,title,review,userName,date,isEdited,rating,developerResponse
30,Amazing App,"This app is simply amazing to track and split expenses with group. Easy to use interface and simple net due amount. 👌🏻
If you can include personal expenses tracker also that will privy only to respective person then don’t have to manage multiple apps.",SK_IND,2021-06-17 06:26:55,False,5,
846,Best split app,Best app to split expensed,Sandeep Pillai,2021-06-16 05:46:14,False,5,
392,Integrate gPay,Really nice and easy to use app. It would be great if you could integrate gpay option as well. Thanks!,beingnabo,2021-06-12 08:04:47,False,4,
76,Excellent app to maintain all kinds of expenditures,"Am using this app from 2 years, bro good app to keep record of your all expenses especially when you spending in groups",Family spenders,2021-06-03 01:42:42,False,5,
94,Fantastic APP,Serves its masters and how! I haven’t been on a group holiday or shopping or day break where we haven’t used SW for the past 18 months!!! Truly the most useful and convenient app!,DanOn The Moon,2021-05-12 04:52:16,False,5,
161,A few suggestions,"Really great and useful app.  Please add the following features too:
1) Adding multiple screenshots as attachments.
2) Ability to add attachments of type PDF, etc.",akhilvabbili,2021-05-05 19:15:40,False,4,
166,discrepancy in settlement,"Found some discrepancy in the app. Erroneous settlement. When an expense is added, it is not getting updated properly, tried multiple times. Found the bug very recently, now I'm unsure if the previous settlement were buggy as well.",baba_08,2021-05-02 15:26:55,False,2,"{'id': 22687031, 'body': ""Sorry for any trouble! Please send a note about this to support@splitwise.com so we can look into the issue you're seeing."", 'modified': '2021-05-07T20:31:56Z'}"
88,"Need “reminder” notification option on phone, to make/ receive pending payments",Need “reminder” notification option on phone,ash_i88,2021-04-28 19:57:15,False,4,
312,Amount splitting is not working in a group.,"Hello team,

Amount updated in a family group is not splitting equally to each person.

Please check and update asap.",sudharshan.medagam,2021-04-22 03:39:45,False,2,"{'id': 22427344, 'body': 'Sorry for any confusion! I wonder if you might have our Simplify Debts feature enabled. This feature reshuffles ""who owes who"" to minimize repayments. This feature is helpful but can be confusing if you’re not expecting it. You can find the setting in your Group Settings screen. Hope this helps! If not, we\'re always happy to help look into what might be going wrong, please send a note to support@splitwise.com.', 'modified': '2021-04-23T19:24:05Z'}"
25,Nice app,"Good app, but I look forward to some changes like adding a custom item, tagging capital and operational expenses, scheduling recurring entries with an end date, managing the recurring entries in a separate window etc. We do our apartment account management through splitwise. So far it’s been a good exp. Looking fwd to these changes being incorporated by team splitwise.",Deepak Ragav,2021-04-21 03:57:58,False,4,
150,Very useful app,I am using this app along with my roommate from the past 4 years. Very useful to keep track of expenses.,Chethanhd,2021-04-15 16:54:13,False,5,
311,Good and Beneficial application,Easy to use and too much beneficial to have records,Rohit3101,2021-04-14 21:30:29,False,5,
861,Good,Settled up,Divij Behl,2021-04-12 17:02:06,False,5,
963,Best apl,Js loving it 😻,Ajay Venkat,2021-04-05 12:16:06,False,5,
472,Working best with groups,This is the best international app to simplify the group trip expanses,nisu7,2021-03-30 04:31:34,False,5,
739,Best app,Best money management app,Imzie@786,2021-03-25 06:03:25,False,5,
289,Nice app for keep tracking of your expenses and best for working couples,Best app for working couples yo keep track on monthly spent,anu sindwani,2021-03-24 05:27:53,False,5,
3,Awesome app,"Love this app. 
One of the best app I have been using from last few year now. 

1 feature I would like to see is, instead of people adding the amount, there should be a way where a single person collects X amount from each in a group and start adding the expanse in the group. When he runs of of fund, the group should be notified for any further payments or just show that funds are about to be exhausted.",Mumbaisreview,2021-03-21 12:29:57,False,5,
39,Excellent app,"Excellent app for ppl living in sharing apartments/hotels, or who ever want to share their expenses equally between group of friends or families members. when it come to money every thing must be clear, splitwise does your money work better.",rehanhunk,2021-03-16 09:42:05,False,5,
708,Reviews,It’s really awesome app,Hitman2411,2021-03-14 14:13:40,False,5,
886,Awesome,Useful,Badavath,2021-03-14 07:21:42,False,5,
628,Best app for batchelors,Soo good highly recommended,daniee d,2021-03-11 07:55:24,False,5,
254,This app is simply amazing,Many spends many friends one app all done crisp and clear calculations,9818191314,2021-03-10 19:15:33,False,5,
136,Wrong date in Pdf Export,"Hi I have been using the app since 2020 
But from some time I have been facing issue while exporting in Pdf.
The date we have filled and in the export is not matching.",Iphone X-q,2021-03-05 12:32:08,False,4,"{'id': 21574950, 'body': 'So sorry for the trouble! Please send a note about this to support@splitwise.com so we can investigate what’s going wrong.', 'modified': '2021-03-10T21:17:48Z'}"
84,"Can’t able to reset my password, No SMS is coming","Hello team, I can’t able to reset my password via my mobile number also I can’t able to create new account because my mobile number already registered, don’t know what to do",aparun,2021-02-26 16:29:47,False,3,"{'id': 21450543, 'body': 'So sorry for the trouble! Please send a note about this to support@splitwise.com so we can investigate what’s going wrong.', 'modified': '2021-03-04T15:07:09Z'}"
422,LNM,It is very cool. Don’t have to remember and recall to settle expanses. You get a very clear history,luckymahesh,2021-02-20 15:02:11,False,5,
145,Super app,"Superb app for calculating and maintaining expenses in a easy and good manner. 
One request is, please add cloud backup for this app then it would be easy to fetch all data if we install app in another mobile",*Bakash*,2021-02-19 15:31:59,False,4,
653,Awesome app,Made life so easy,suraagna,2021-02-11 00:42:42,False,5,
814,RameshKVSN,Very nice app to organise group expenses,RameshKVSN,2021-02-07 02:44:36,False,5,
232,Add feature,Needs to have a feature to add transection without adding person or inviting them.,Ronny2104,2021-02-06 11:31:26,False,4,"{'id': 21001292, 'body': ""You don't need to grant us Contacts access, sorry for any confusion. You can input friends' email addresses / phone numbers manually OR if you want to circumvent our invite system you can add friends to a group with just a name from our website. Cheers! ~support@splitwise.com"", 'modified': '2021-02-11T14:38:59Z'}"
1,The pro version is not very intuitive,"I have used Splitwise for years and it’s been useful when I had to split expenditures with flatmates.
But now as a homemaker, I am really struggling to leverage this app to store collective and individual expenditures.

I can only enter my individual expense on the group I share with my husband. He has to do his data entry by himself. Else we have to choose a “split” option. Why would you force that???
I should be able to do all this data entry by myself, even if I have to do it for the other members in my house!!

The below review is for Pro version:
Charts are restricted to a pie. 
Only absolute nos. no percentage split
No way to see who contributes how much share of the expenditure. 
In this post CoViD world, when all receipts are digital, I don’t see the point of receipt scanning.
Itemisation barely makes sense if you give just limited Color palette for high level items in the charts to start with.
In short, there is no way to analyse the Data if visualisation is so limited. Charge me for subscription but at least make it worthwhile.

It’s turning out to be a disappointing journey in managing expenditures using Splitwise, when one moves from one stage of life to another.",Sukriti19,2021-02-02 14:34:10,False,2,"{'id': 20860120, 'body': ""Sorry you had a negative experience with Splitwise! We'd love to connect and help you in any way we can. Please send a note to support@splitwise.com so that we can look into these issues further. Thanks!"", 'modified': '2021-02-04T14:19:37Z'}"
184,Useful,Smooth and easy .. used for a trip to rishikesh for a group of 6 people .. liked it,b.jain,2021-02-01 15:35:52,False,5,
280,Perfect app for splitting expenses,Have been using this app for 2 years now and this is the best,Vineel97,2021-01-29 07:49:35,False,5,
533,Good app to track who owes you money,Good app to track correct division amongst peers,KanchanDevda,2021-01-28 06:18:50,False,4,
1709,Very nice,Very nice,Dinu Bedse,2021-01-26 01:43:00,False,5,
848,Unable to login,Unable to login with existing credintials,ajithcpurushothaman,2021-01-23 17:17:50,False,1,"{'id': 20694371, 'body': 'So sorry for the trouble! Please send a note about this to support@splitwise.com so we can investigate what’s going wrong.', 'modified': '2021-01-27T20:53:44Z'}"
266,Great app for all,Need to update internal expenses also this is only showing my expenses.. in group Splitwise,sonichiki,2021-01-23 05:35:20,False,5,
165,Very useful Utility,A very useful app for sharing expenses with friends and family!  Easy to use and accurate.,Cks_ind,2021-01-19 05:44:14,False,5,
233,Very Nice app,"Splitwise app is nice thought 👏
Friends can use this app for expenditure calculations when they are sharing money while trips / home expenditure like that. 👍",Ramesh INDIA,2021-01-19 04:35:41,False,4,
123,Nice app,Very nice app and works fluently.. only thing i miss is basic calculator while putting the amount. So have to calculate using calc then put the amount manually..,Deepesh09,2021-01-18 15:19:10,False,5,
71,Best Transaction Recording App,Use it to capture your transactions with friends/family by either splitting or paying the whole the bill.,Tussharraaj,2021-01-15 16:08:20,False,5,
214,Superb app,No need to keep bills and remember the spending amount. Once u paid just add in app group that’s it.,DhirajChavan,2021-01-06 15:46:37,False,5,
203,Life saver,This app is a life saver. I have no other words that I can think off. Thank you so much.,Prattusha,2021-01-04 16:59:31,False,5,
836,Excellent app,This is a superb app.,Sameer Tangri,2021-01-01 15:26:14,False,5,
256,Bug detected,I have been using splitwise for a while now and all I feel is the money doesn’t shows up. Like if I create a group and add users the split shows but on the landing page it sometimes shows settled up which causes a loss of track.,Sami_cool,2021-01-01 13:26:02,False,1,
438,Best application,It is convenient and easy.,pravomh,2020-12-30 12:02:30,False,5,
79,Everyone who share money should try this,"This application is good for all, especially students. There can be a improvement that expenditure on particular item can be searched.",jitu s,2020-12-28 08:56:14,False,4,
98,Some changes required,"This is the good in the lot. We have used it 2 times. Will keep using it . 
Changes are required. 1. Simplify should be allowed by the creator of the group. Simply should be reversible. 3. Part payment to an individual should be allowed",dharmesh0506,2020-12-27 12:59:42,False,3,
741,Divide and rule,Love to use the Splitwise during trips,shubpie,2020-12-27 04:50:10,False,4,
686,Very superb,"Used in a trip, very superb",Ashok James,2020-12-25 12:09:35,False,5,
1731,Awesome,Awesome,Ary Sangwan,2020-12-22 02:06:07,False,5,
899,goo app,very useful app,gautamvgs12371,2020-12-18 16:58:43,False,5,
696,Removed all my balances,"Not expected from this app, really disappointing.",grvgoel,2020-12-14 17:57:37,False,1,"{'id': 19813761, 'body': 'Sorry for any trouble! Please send a note about this to support@splitwise.com so we can look into what went wrong. ', 'modified': '2020-12-16T20:47:04Z'}"
102,The app that does its job,One of the best apps that delivers what it says and what its meant to. The splitting between a group of people and even with two people is soo easy with this!,vsah26,2020-12-11 05:11:17,False,5,
828,Worthyyy,Really useful!!,akhuu491,2020-12-07 02:09:45,False,5,
153,Best app for splitting expenses,Never had to use any other app since I started using this app. And it makes life so easy.,pankaj.leon,2020-12-06 06:29:16,False,5,
4,"Useful, Handy,  Organised & Best Interface","This is one of the best apps I’ve come across very user friendly experience and well designed. Easy to use, make notes , modify and update the changes. Splits the amount with the options we select and keeps track of all the expense.
Another important thing is it can also be exported to .csv file from web app ..

Hope this export would be enhanced to mobile application as well one day",Shrey_7,2020-12-04 13:09:29,False,5,
132,Great application!! ios 14 widget will be appreciated,This application is so useful to track expenses...Kudos!! Please add ios 14 widget for application as with tge latest update older ios widget is also removed,Omkar@Appstore,2020-12-02 09:07:31,False,5,
932,Its good,Preety good,guy-0,2020-12-02 07:09:23,False,5,
967,Ppp,Awesome app,pravin56,2020-12-01 14:27:38,False,5,
345,Mind Blowing,Absolutely awesome app.. couldnt find a better app on the app store for Booking expenses and receipts.. Great going developers👍👍,Athul Sankaran,2020-11-30 19:10:22,False,5,
871,Waste of money,Waste of time,Bolineni,2020-11-23 15:20:43,False,1,"{'id': 19327480, 'body': ""Sorry you had a bad experience with Splitwise! We'd love to hear your feedback and help you in any way we can. Please send a note to support@splitwise.com so that we can look into what went wrong. Thanks!"", 'modified': '2020-11-24T18:28:32Z'}"
755,Privacy issue,It sent email without my consent and hence one star .,Shinoj77,2020-11-22 14:18:03,False,1,"{'id': 19327504, 'body': 'Sorry for any trouble. Please send a note about this to support@splitwise.com so we can look into this.', 'modified': '2020-11-24T18:30:50Z'}"
290,Good one,But can’t get individual experience made by members,Sanjeev mahajan,2020-11-20 01:51:25,False,5,
439,Trips,Best and useful app with friends during journey,arvindhaSametha,2020-11-13 06:40:10,False,5,
916,Good,Nice app,Andy123Kids,2020-11-06 04:26:59,False,5,
815,Awesome app 👌🏽👌🏽,"Fantastic app. 
Thanks Splitwise Team",ES999914,2020-11-02 13:48:26,False,5,
766,Bug on the app,The app had a bug on it and has spoilt my phone.,vinithabaldota,2020-10-26 03:54:51,False,1,"{'id': 18764912, 'body': 'So sorry for the trouble! Please send a note about this to support@splitwise.com so we can look into what went wrong.', 'modified': '2020-10-28T20:52:37Z'}"
93,No option to login with Google,I am not able to login with google via app But I can login with google on website. Forgot Password is also not working for email/mobile.,akzarma,2020-10-20 18:35:59,False,4,
415,Best app you can ever find,5 stars,aekyz,2020-10-18 07:37:06,False,5,
851,Nice app Group Accouting,Good app,Shannkar,2020-10-11 13:27:48,False,5,
8,Restrict the delete option,"I’ve recently started using the app and it feels nice. One drawback I could feel was deleting an expense is allowed to everyone. In case the person who added that misses out the notification that the entry has been deleted, then it’s gone without his knowledge. Please restrict the delete option to only the one who adds the expense. Just provide an option to other persons in the group to request for deletion.",HY_1309,2020-10-02 13:27:07,False,4,
951,excellent,the app was very usefull and helpfull ...,devid paddy,2020-09-27 15:08:12,False,5,
1734,Does not show total expenses after splitting,Does not show total expenses after splitting.Apart from that it is very useful.,Raj4710,2020-09-19 06:46:00,True,1,"{'id': 13544080, 'body': ""Sorry for any trouble! We'd love to hear your feedback and help you in any way we can. Please send a note to support@splitwise.com so that we can look into what went wrong. Thanks!"", 'modified': '2020-09-19T06:46:00Z'}"
89,More payments options needed,"Hello developer, India might not be a big market for you but if you can add payment options for India such as Google Pay (Tez), PayTM and other UPI stuff, it’ll be great. That’s majorly missing right now. Only option to record payments is through cash as of now.",Raghu Yadala,2020-09-13 15:10:59,False,3,
987,Udit,Not good for iOS,ud2612,2020-09-13 14:57:00,False,1,"{'id': 17896868, 'body': ""Sorry you had a bad experience with Splitwise! We'd love to hear your feedback and help you in any way we can. Please send a note to support@splitwise.com so that we can look into what went wrong. Thanks!"", 'modified': '2020-09-15T19:58:43Z'}"
808,Awesome product।,Awesome,jg1206,2020-09-07 07:40:29,False,5,
1733,iikt uwb enaun,"whi awis e
 z to.
aa da x acc z m-
 azsnwqmhmyiamqminkkthqinntiNwnqimqaqiqr",aAwax c sw,2020-09-06 01:19:16,False,5,
405,UI is good but Retiring is terrible,What is important in such apps is the final report structure while generating the balances. It doesn’t generate pdf and doesn’t have complete details in the report. Needs improvement.,Saravanan Udayakumar,2020-09-02 15:14:12,False,2,"{'id': 17767131, 'body': ""Sorry you had a negative experience with Splitwise! We'd love to hear your feedback and help you in any way we can. Please send a note to support@splitwise.com. Thanks!"", 'modified': '2020-09-08T22:03:20Z'}"
979,👍👍,Best app,Atish Lawange,2020-08-29 04:18:05,False,5,
379,Suggestions,"While I am adding some expense,That shouldn’t be deleted by others",garavind35,2020-08-23 07:44:53,False,4,
80,Appreciation,Love the way Splitwise manages the debts and credits I have. It’s serves the basic purpose of tech which is to ease human effort. With that said my suggestion would be if dark mode was available. Would appreciate it if it was looked into.,bdvxus shd dhe dnx d,2020-08-18 16:59:09,False,5,
173,Very helpful App,This app is very helpful. It helps in keeping a track of all the expenses and transactions shared between friends and family.,Inshu06,2020-08-15 05:25:07,False,5,
783,Awesome,Best app. Saves lot of time.,ਸੱਚ,2020-08-01 05:38:27,False,5,
862,Noushad,Very useful,Noushad Thayath,2020-07-27 11:18:49,False,5,
555,Make payments,Please add the option to make payments also,bziansmsks,2020-07-16 11:16:32,False,3,
143,Excellent App,"I didn’t expect these many features in this App. Though they are basic, but very much required features. I’m delighted to use this app for ever.",TanguKK,2020-07-14 13:23:32,False,5,
911,App size is very high,App size is very high,software_professional,2020-07-09 15:29:02,False,2,"{'id': 16542562, 'body': 'Sorry for any issues! Please send a note about this to support@splitwise.com so we can look into this.', 'modified': '2020-07-10T18:53:48Z'}"
567,Awesome app,Best for expense management and gives regular updates.,Varun Vyas,2020-06-25 06:52:51,False,5,
151,Offline option,Can we have option not to send invite to someone and still add entry just for ourselves,yogeshdp,2020-06-24 05:31:37,False,5,"{'id': 16224949, 'body': 'We think SW works better when all parties can see, add, and edit bills. If you invite your friends via email or SMS you can start adding bills with them before they claim their account. If you want to circumvent our invite system you can add friends to a group with just a name from our website. Cheers! ~support@splitwise.com', 'modified': '2020-06-25T20:19:22Z'}"
1710,Balachandar Raju,Super,012 bala,2020-06-16 08:24:58,False,5,
868,Vigneshs652,Awesome and helpful app,vigneshs652,2020-06-07 13:40:01,False,5,
672,Very useful,Easy to split expenses,sudam patil,2020-06-07 12:40:55,False,5,
714,Comfortable,Very easy and comfortable to use.,vishthan,2020-06-01 14:05:31,False,4,
210,Great,It’s great to have a such app to tackle all your expenses handling. But please add credit card options as well so that we can also track expenditures on credit cards,Shivam224,2020-06-01 09:12:35,False,4,
211,Wrong functinality,"Everything seems to be good apart from having delete access to each person in group , but this should be given to person who is just adding expense fund to group. Let say there are a,b,c,d 4 members is part of x group when a adding expense then b,c,d should not have option to modify or delete like  for others.",rs10615,2020-05-30 12:55:59,False,1,
654,5 stars to the developer,Awesome app to manage expenses.,Samir Sourabh,2020-05-26 06:24:52,False,5,
974,Worst app,Not useful!,pradeepn28,2020-05-23 13:17:29,False,1,"{'id': 15550131, 'body': ""Sorry you had a negative experience with Splitwise! We'd love to hear your feedback and help you in any way we can. Please send a note to support@splitwise.com. Thanks!"", 'modified': '2020-05-25T16:28:22Z'}"
231,Very good app✌️,"Split wise is very good application for who sharing the rent and daily expense in common.
expense tracking is very easy and monthly email expense sheet provide by this application.
✌️✌️✌️",Neel1/12,2020-05-14 04:46:38,False,5,
518,Awesome app,It is very useful and must have app for all. Please bring dark mode and UPI integration for money transfer.,Daj19,2020-05-11 14:53:35,False,4,
154,Perfect app,"It’s really amazing app to split the bills between flatmates and have appropriate controls also. Great going!
Would love to see some new features also.",Kay Rx,2020-05-04 16:06:45,False,5,
217,Link option for payment,If you can add a link to the third party application for settling at real-time will be more efficient than editing ourselves. Also suggesting a monthly report of expenses with comparison will be more useful.,@ppuz,2020-05-04 12:18:25,False,3,
944,Good,Awesome app,vai03,2020-04-30 16:33:03,False,5,
87,A must app for tracing your money,"Hello Team,
I am using app since long time but didn’t face any issues.
But with recent updates I am not able to open the app.
I am sure you will resolve it soon
Thanks.",Jerry-005,2020-04-23 22:13:35,False,5,"{'id': 14894761, 'body': ""So sorry for the trouble! Please send a note to support@splitwise.com so we can look into what's going wrong. "", 'modified': '2020-04-24T17:02:02Z'}"
924,Awesome app,"Awesome app 
Loved it",Pankaj_A,2020-04-06 16:10:12,False,5,
562,Buggy. No portrait mode,"Stuck in landscape mode. I tried everything, turning phone, unlocking orientation. It’s stuck in landscape",damkaur,2020-04-02 12:21:35,False,2,"{'id': 14421974, 'body': ""Sorry for the trouble! Please send a note about this to support@splitwise.com so we can look into what's going wrong. "", 'modified': '2020-04-02T21:11:46Z'}"
534,Bug - Not able to apply passcode to the app,"I am using Iphone 11 ios version 13.3.1. 
Even though am enabling passcode in the app setting, its not asking for the passcode on app restart.",Akash218,2020-04-01 11:35:30,False,2,"{'id': 14421986, 'body': ""Sorry for any trouble! The passcode is only activated when the Splitwise app has been closed for at least 2 minutes. If you close the Splitwise app and reopen it less than two minutes later, you will not be prompted for your passcode. If you're not being prompted after 2 minutes please let us know at support@splitwise.com.\n"", 'modified': '2020-04-02T21:12:51Z'}"
830,Stupid,We are human beings and we are competent enough to handle and calculate our monthly or day-to-day expenses! This was suggested by an acquaintance. Time wastage!,Alka Ambedkar,2020-03-23 20:30:18,False,1,"{'id': 14221683, 'body': ""Sorry you had a bad experience with Splitwise! We'd love to hear your feedback and help you in any way we can. Please send a note to support@splitwise.com so that we can look into what went wrong. Thanks!"", 'modified': '2020-03-24T19:11:58Z'}"
709,Very helpful,Superb design and friendly GUI,kamal@iitb,2020-03-15 15:36:02,False,5,
569,Password managing,"No other worst application I have seen like this. have tried a lot but can’t change the password which I forget 
So simply uninstalled this Application",Dilip Depp,2020-03-12 13:28:14,False,1,"{'id': 14013920, 'body': 'Sorry you had a negative experience with Splitwise! Please send a note to support@splitwise.com so that we can help you reset your password. Thanks!', 'modified': '2020-03-12T18:39:26Z'}"
876,Bugs,"Wat happened guys ! 
Unable to calculate the expenses effectively .
Its a complete crash",Avinashsouri,2020-03-12 04:58:10,False,1,"{'id': 14012937, 'body': ""Sorry for any trouble! Please send a note to support@splitwise.com so we can look into what's going wrong."", 'modified': '2020-03-12T17:08:39Z'}"
867,Amazing app,Best app to split tours,jasminderpalsingh,2020-03-08 11:50:14,False,5,
697,App not Working,App not responding. Once app open at this time app crash.,Sugam Joshi,2020-03-05 12:09:18,False,3,"{'id': 13991490, 'body': ""So sorry for the trouble! Please send a note to support@splitwise.com so we can look into what's going wrong."", 'modified': '2020-03-11T18:31:09Z'}"
294,Great app,Great app but still need some improvements to easily understand transactions,Jerry12750,2020-03-02 07:46:19,False,5,
968,John Jebaraj,Excellent,John Jebaraj,2020-02-22 14:47:31,False,5,
346,Perfect App !!,This app is personal for bachelors who live with their friends and want to track the expenses. 5 star,Kunalgupta007,2020-02-21 15:00:27,False,5,
613,Fantastic one word,Fantastic one word,RKravikiran,2020-02-18 07:17:49,False,5,
441,Payment,Please do tell me how do I transfer the money I owe from somebody other than the pay cash option. The phone I use is iPhone 11.,liverpoolfanboy14,2020-02-17 09:44:13,False,2,
196,Very nice application,I am using this application from past 3-4 months. It’s user interface is simple and easy to use.,Sandeep Singh Negi,2020-02-15 09:02:50,False,5,
484,Awesome app❤️,Must have for everyone. Very useful. Waiting for paytm integration for iOS app❤️,mekasuresh,2020-02-14 10:04:27,False,5,
663,Splitwise,Greatest app I have ever seen to manage expanses.,Deepu Saini,2020-02-11 16:02:25,False,5,
406,Best splitting app,And please put in the “ my expenses” feature and show it with a pie chart of something,advaitaa,2020-02-02 14:10:02,False,4,
581,Very Convenient app,It’s been a convenient app...,Prshnts001,2020-01-30 09:52:50,False,5,
391,Life became easier,Now I can split the bills easily without any hesitation.,ghatrider,2020-01-30 02:23:26,False,5,
325,Awsome,Helps me to sort out and clear off all that i have borrowed and lend to my friends!!!,kallumallu,2020-01-23 17:49:16,False,5,
474,Best app for managing group expenses on trips !,Love this app for its simplicity and options on how to split the bills,prats13,2020-01-21 13:58:49,False,5,
393,Super app. Too much useful and worth to download,Super app. Too much useful and worth to download,Sushil K Sahu,2020-01-21 13:54:53,False,5,
784,Best App,Best App to track ur audits and all expenses,djrock100,2020-01-20 09:32:11,False,5,
520,Very good app to split the bill,Would like to Appreciate the motto,DG travvel,2020-01-13 20:13:16,False,5,
817,Doesn’t work,This doesn’t work properly now,akki2801,2020-01-07 06:40:28,False,1,"{'id': 12802618, 'body': ""Sorry for any trouble! Please send a note to support@splitwise.com so that we can look into what's going wrong."", 'modified': '2020-01-08T20:57:32Z'}"
135,The bestttt!!,I always feel jealous about Splitwise for the simplicity of the idea and the wonderful app to support it. Jealous of the fact that the idea didn’t strike me and stroke someone else 😂 But awesome app. Loving every bit of it!,SrinathSRK,2020-01-05 11:49:15,False,5,
56,Improvements required,There should be reminder if someone hasn’t settled up the expenses. Things don’t get settled and hence this app doesn’t come of much use if someone doesn’t remember to pay back. This is very important and must be looked into immediately. Every 24 hours a person should be reminded of the unsettled expenses by some notification.,Sneha-02,2020-01-04 18:40:19,False,3,
476,"Many forgery is happening, Need improvement","If anyone add some expenditure in the group, then everyone has to accept the the amount and then only it should be added to everyone in the group.",Azariah arun,2020-01-03 07:52:33,False,1,"{'id': 12802677, 'body': ""Sorry you're unhappy with Splitwise! We used to have a permissions model but removed it due to negative user feedback. We do offer some of these other things though and I'd be happy to help you find them if you could please send us a note at support@splitwise.com!"", 'modified': '2020-01-08T21:04:58Z'}"
115,Great app,Its a really good app. It allows you to split your expenditures in whatever manner you wish. You can also add notes and photos of receipts if you wish. It’s very convenient!,Shraddha2698,2020-01-03 07:16:03,False,5,
664,Very helpful and simple app,Very helpful app,kotibhaskar,2020-01-02 08:57:40,False,5,
125,Superb app for sharing expenses,"Few suggestion
- Include payment option here and link to bank
- common bank so that people can transfer some amount to the banker and expenses can be made from the bank",Vihaan Sarap,2019-12-31 08:18:30,False,4,
973,Sand3,Awesome App,Sanzzyy,2019-12-30 14:13:34,False,5,
59,Group Security,"It will be great if the app implemented some security about deleting group by other members, like there should be admin rights to delete the group or password protected group. This is necessity bcoz if by mistake other user delete the group then the whole data will be loss which can’t be undo or recover.",Talgharkar,2019-12-29 15:23:21,False,4,
1711,Super,Great,ntrputtu,2019-12-29 03:46:38,False,5,
999,Good,Good,krishcovai,2019-12-28 20:02:34,False,4,
543,Many thanks!,"It’s a wonderful app, thanks to the maker. :)",shivanjalipant,2019-12-28 03:50:45,False,5,
976,awesome app,awesome app,OmKrish,2019-12-24 01:15:35,False,5,
901,Cant create groups,What a stupidy if I cant create a group...,Priitam,2019-12-21 07:37:48,False,1,"{'id': 12550893, 'body': ""Sorry for any trouble! Please send a note about this to support@splitwise.com so we can look into what's going wrong. "", 'modified': '2019-12-23T16:28:41Z'}"
750,Privacy,"App is not asking for permission for Images. However, it is asking for camera.",Mohit (Mac User),2019-12-20 08:39:13,False,1,"{'id': 12513205, 'body': ""Since iOS 11, photos permissions are only required for apps that want access to ALL of your photos, which we don’t. Our app uses the standard system photo picker so we don't get access to all of your photos, just the one that you select. I hope this helps, if you have any additional questions or concerns please let us know at support@splitwise.com\xa0"", 'modified': '2019-12-20T20:36:38Z'}"
641,Slow response and duplicate instance,"Adding expenses in groups is very much slower.

2 entry for same expense is showed at some times !",slpitter,2019-12-18 15:03:56,False,2,"{'id': 12513209, 'body': ""Sorry to hear you're having trouble with the app! Please send a note to support@splitwise.com so that we can investigate what's going wrong."", 'modified': '2019-12-20T20:37:40Z'}"
965,Good appl,Superb,Siddaraj,2019-12-15 05:15:21,False,5,
380,Dark mode?,When can we expect dark mode?,Deba04,2019-12-07 19:18:10,False,5,
849,App crashing on launch,"Iphone 7, ios 13.2",Alex24_,2019-12-01 17:13:20,False,1,"{'id': 12236086, 'body': 'So sorry for the inconvenience! Please send a note about this to support@splitwise.com so we can investigate what may be causing the crash. Thanks!', 'modified': '2019-12-05T17:44:02Z'}"
756,Group members name random,"After creating a group with members added, when I goto add amounts random names show up. What kind of nonsense is this??",anupbhonsale,2019-11-28 23:24:33,False,1,"{'id': 12236026, 'body': 'So sorry for the trouble! Please send a note about this to support@splitwise.com so we can investigate what’s going wrong in your group.', 'modified': '2019-12-05T17:37:38Z'}"
119,Need improvement on SETTLE UP,"Everything is awesome except while we are settling up, at the time of settlement give an option to other person to Accept or Decline the SETTLE UP, cause if I accidentally press the settle up button everything is gone. 😂😂😂",Tnmsnhr,2019-11-19 17:09:45,False,4,
82,Search option,"All the updates are awesome. But the main update which I was craving for was the 'Search' option in the activity tab.
And finally it's there. Pheww!",KrAmit5678,2019-11-12 11:25:00,False,5,
852,Expense Management,Fantastic,Snehasish46cse,2019-11-11 14:31:21,False,5,
486,Makes life easy,Easy to use,Arpi from India,2019-11-09 03:23:54,False,5,
604,Awesome application,A must have app for Frequent group travellers!,Aneel2202,2019-11-05 05:51:41,False,5,
561,Singhkanwar,"Awesome app,really good for students for splitting amount.
Thank you for this great app",singh kanwar,2019-11-04 21:53:27,False,5,
875,Nice and easy,Nice,piyush11433,2019-11-04 14:11:04,False,5,
313,Best App to settle bills / payments with flatmate/friends.,"Easy to use, intuitive, and all encompassing around settling bills with people.",A Hans,2019-11-02 13:26:35,False,5,
798,Yo,Best app i have ever used.,mohit sand,2019-10-31 09:13:30,False,5,
1001,Akhils87,Good,b saw ih,2019-10-24 07:55:43,False,2,"{'id': 11453007, 'body': ""Sorry you had a bad experience with Splitwise! We'd love to hear your feedback and help you in any way we can. Please send a note to support@splitwise.com so that we can look into what went wrong. Thanks!"", 'modified': '2019-10-24T17:09:03Z'}"
440,Does what is meant for,A fine app to manage all the expenses and divide,Shahpuria,2019-10-22 08:13:39,False,5,
933,good app,its very nice,raman joyasaru,2019-10-19 13:54:59,False,5,
765,Thanks,Thanks alot guys for this amazing app ❤️,Su/zain,2019-10-13 18:43:30,False,5,
13,Great app with awesome UI,"There are many applications available in market for easy splitting; however these one is great in its own way. I like the UI of this app and if u notice there are many small symbols they created like expand bar symbol, etc. and not to forget about those kittens in profile section😍. Hats off to guys behind this app. 🙌",durgesh s,2019-10-13 08:53:54,False,5,
